target,placement_day,cancellation_day,distance_(km),placement_hours,placement_minutes,placement_seconds,cancellation_hours,cancellation_minutes,cancellation_seconds,personal_or_business_Personal,personal_or_business_nan,vehicle_type_Standard Bike,vehicle_type_nan,standard_or_express_Standard,standard_or_express_nan,platform_android,platform_desktop,platform_ios,platform_peer_web,platform_nan,cancelled_by_Staff,cancelled_by_nan,scheduled_Scheduled,scheduled_nan,placement_day_freq_encode,cancellation_day_freq_encode,placement_hours_freq_encode,placement_minutes_freq_encode,placement_seconds_freq_encode,cancellation_hours_freq_encode,cancellation_minutes_freq_encode,cancellation_seconds_freq_encode
0.0,0,0,9,17,55,38,17,56,35,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,345,101,137,436,100,94
1.0,0,0,14,12,26,27,12,28,44,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,686,101,112,658,111,128
2.0,0,0,16,13,21,18,13,47,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,670,97,122,631,102,122
1.0,0,0,20,10,29,19,10,29,29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,633,127,98,532,133,122
3.0,0,0,11,14,34,5,15,49,41,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,985,917,679,102,136,718,110,101
4.0,0,0,7,7,37,19,8,3,28,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,985,917,127,115,98,240,110,114
0.0,0,0,16,10,11,45,10,15,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,633,119,124,532,89,124
0.0,0,1,21,16,10,52,7,44,42,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,985,1056,572,118,95,96,123,104
0.0,0,0,10,18,9,6,18,11,49,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,229,108,125,277,107,142
0.0,0,0,11,16,1,11,16,48,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,572,112,137,662,103,142
0.0,0,0,13,8,46,43,8,55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,328,114,108,240,99,205
3.0,0,0,6,17,19,39,19,1,43,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,985,917,345,94,119,182,108,120
2.0,0,0,2,14,52,3,14,52,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,679,116,102,622,97,111
2.0,0,0,0,10,35,0,10,36,18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,633,106,115,532,94,111
3.0,0,1,20,15,9,54,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,985,1056,748,108,125,333,411,205
3.0,0,0,8,9,42,43,11,33,52,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,985,917,464,101,108,613,112,100
0.0,0,0,8,13,11,29,13,18,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,670,119,111,631,114,114
4.0,0,0,0,15,27,41,15,36,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,985,917,748,102,104,718,94,103
2.0,0,0,7,11,39,7,11,50,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,700,100,100,613,128,103
0.0,0,0,24,15,23,41,15,26,42,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,748,115,104,718,100,104
0.0,0,0,26,16,3,24,16,18,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,572,113,92,662,114,115
0.0,0,0,42,15,21,25,15,21,34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,748,97,96,718,86,118
1.0,0,0,13,10,43,22,10,43,33,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,633,112,108,532,102,96
3.0,0,0,5,9,58,26,10,2,35,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,985,917,464,107,129,532,109,94
5.0,0,0,7,12,21,46,12,23,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,686,97,96,658,120,118
1.0,0,0,7,17,47,26,17,47,54,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,985,917,345,122,129,436,102,98
2.0,0,0,18,19,22,37,19,44,54,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,133,116,100,182,123,98
0.0,0,0,23,10,19,7,10,21,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,633,94,100,532,86,115
1.0,0,0,22,11,2,4,11,2,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,985,917,700,103,120,613,109,102
3.0,0,1,6,10,32,37,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,985,1056,633,109,100,333,411,205
0.0,0,0,7,13,28,44,13,36,53,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,670,113,121,631,94,94
3.0,0,0,6,17,46,28,19,14,45,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,985,917,345,114,86,182,113,103
4.0,0,1,5,17,9,4,7,38,13,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,985,1056,345,108,120,96,112,108
0.0,0,0,11,9,11,25,9,22,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,464,119,96,421,125,102
4.0,0,0,2,14,55,41,15,2,22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,985,917,679,101,104,718,109,102
0.0,0,0,9,8,18,2,8,23,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,328,104,119,240,120,90
1.0,0,0,2,14,54,0,14,54,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,679,132,115,622,109,100
4.0,0,0,7,7,35,13,8,4,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,985,917,127,106,125,240,89,124
2.0,0,2,9,17,26,25,8,57,45,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,985,1041,345,101,96,240,101,103
3.0,0,0,11,14,21,8,15,47,48,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,985,917,679,97,99,718,102,113
1.0,0,0,49,10,59,39,10,59,50,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,633,99,119,532,100,118
1.0,0,0,1,13,31,20,13,31,29,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,985,917,670,112,122,631,92,122
2.0,0,0,167,21,45,49,21,46,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,68,119,108,56,105,205
0.0,0,0,17,15,50,4,15,52,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,748,128,120,718,97,128
0.0,0,0,8,16,9,4,16,9,25,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,572,108,120,662,100,118
0.0,0,0,4,8,36,50,9,15,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,328,98,116,421,89,111
3.0,0,0,6,17,42,28,19,2,23,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,985,917,345,101,86,182,109,96
4.0,0,0,8,9,50,37,11,36,59,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,985,917,464,128,100,613,94,118
2.0,0,0,21,12,44,0,12,45,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,985,917,686,114,115,658,122,102
1.0,0,0,25,15,22,8,15,22,17,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,748,116,99,718,125,128
1.0,0,0,6,11,37,18,11,44,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,700,115,122,613,123,94
0.0,0,0,8,13,2,37,13,50,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,985,917,670,103,100,631,128,115
2.0,0,0,11,9,52,11,10,0,29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,464,116,137,532,411,122
2.0,0,0,5,15,30,4,15,30,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,748,126,120,718,103,111
3.0,0,0,7,16,11,51,17,21,35,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,985,917,572,119,107,436,86,94
3.0,0,0,23,13,4,38,20,33,13,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,985,917,670,112,137,90,112,108
